DownloadTimeStamp,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Metric,Temperature,Precipitation_inches,Relative_Humidity,Cloud_Cover,WindSpeed10mAbove_mph,SurfacePressure_millibars, WindDirection_degrees
1589033353,05/07/2020 6:00 PM,05/07/2020 2:00 PM,1588874400,false,62.40,0.00,32.2,0,18.50,980.4,298.9
1589033353,05/07/2020 7:00 PM,05/07/2020 3:00 PM,1588878000,false,62.00,0.00,33.1,0,16.70,980.8,309.5
1589033353,05/07/2020 8:00 PM,05/07/2020 4:00 PM,1588881600,false,61.60,0.00,32.4,4,15.30,981.2,309
1589033353,05/07/2020 9:00 PM,05/07/2020 5:00 PM,1588885200,false,61.10,0.00,29,10,14.30,981.1,291.8
1589033353,05/07/2020 10:00 PM,05/07/2020 6:00 PM,1588888800,false,59.80,0.00,30.6,1,13.40,981.4,328
1589033353,05/07/2020 11:00 PM,05/07/2020 7:00 PM,1588892400,false,58.40,0.00,28.4,4,13.90,981.8,330.3
1589033353,05/08/2020 12:00 AM,05/07/2020 8:00 PM,1588896000,false,52.20,0.00,42.6,8,9.30,983.3,36.3
1589033353,05/08/2020 1:00 AM,05/07/2020 9:00 PM,1588899600,false,47.60,0.00,46,0,9.40,984.3,58.3
1589033353,05/08/2020 2:00 AM,05/07/2020 10:00 PM,1588903200,false,44.00,0.00,45.7,0,7.90,985,57.5
1589033353,05/08/2020 3:00 AM,05/07/2020 11:00 PM,1588906800,false,42.10,0.00,47.9,0,7.80,985,73.7
1589033353,05/08/2020 4:00 AM,05/08/2020 12:00 AM,1588910400,false,40.30,0.00,53.5,0,6.80,984.8,73.5
1589033353,05/08/2020 5:00 AM,05/08/2020 1:00 AM,1588914000,false,38.70,0.00,59.4,0,6.40,984.6,53.8
1589033353,05/08/2020 6:00 AM,05/08/2020 2:00 AM,1588917600,false,38.00,0.00,64.4,0,9.00,984.7,47.9
1589033353,05/08/2020 7:00 AM,05/08/2020 3:00 AM,1588921200,false,37.20,0.00,69.8,0,9.00,984.7,53.8
1589033353,05/08/2020 8:00 AM,05/08/2020 4:00 AM,1588924800,false,36.20,0.00,73.9,0,5.20,984.5,52.5
1589033353,05/08/2020 9:00 AM,05/08/2020 5:00 AM,1588928400,false,36.00,0.00,75,1,5.60,984.3,41.7
1589033353,05/08/2020 10:00 AM,05/08/2020 6:00 AM,1588932000,false,36.00,0.00,73.1,14,6.30,984,27.6
1589033353,05/08/2020 11:00 AM,05/08/2020 7:00 AM,1588935600,false,36.30,0.00,63.3,5,11.40,983.5,24.5
1589033353,05/08/2020 12:00 PM,05/08/2020 8:00 AM,1588939200,false,36.90,0.00,58.1,3,12.30,984.7,18.5
1589033353,05/08/2020 1:00 PM,05/08/2020 9:00 AM,1588942800,false,37.40,0.00,61.3,21,12.30,984.8,11.1
1589033353,05/08/2020 2:00 PM,05/08/2020 10:00 AM,1588946400,false,38.50,0.00,56.7,37,12.70,984.3,357.9
1589033353,05/08/2020 3:00 PM,05/08/2020 11:00 AM,1588950000,false,39.10,0.00,52.9,43,12.40,984.5,351.6
1589033353,05/08/2020 4:00 PM,05/08/2020 12:00 PM,1588953600,false,40.80,0.00,43.7,26,14.00,984.8,350.7
1589033353,05/08/2020 5:00 PM,05/08/2020 1:00 PM,1588957200,false,42.00,0.00,38.8,23,13.40,984.5,341.8
